,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA,AAPL,AMZN,GOOG,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,16.791179656982422,12.865500450134277,18.013729095458984,2.357332944869995,19.608213424682617,12.865500450134277,18.013729095458984,2.357332944869995,19.821428298950195,12.904999732971191,18.10713005065918,2.363332986831665,19.343929290771484,12.663000106811523,17.84685516357422,2.313999891281128,19.779285430908203,12.803999900817871,17.918338775634766,2.3333330154418945,560518000,65420000,102033017,17922000
2013-01-03,16.579240798950195,12.923999786376953,18.02419090270996,2.318000078201294,19.360713958740234,12.923999786376953,18.02419090270996,2.318000078201294,19.631071090698242,13.043999671936035,18.22991943359375,2.363332986831665,19.321428298950195,12.818499565124512,17.950716018676758,2.316667079925537,19.567142486572266,12.863499641418457,18.055572509765625,2.3453330993652344,352965200,55018000,93075567,11130000
2013-01-04,16.117441177368164,12.957500457763672,18.380355834960938,2.293333053588867,18.821428298950195,12.957500457763672,18.380355834960938,2.293333053588867,19.236785888671875,12.989999771118164,18.467529296875,2.319999933242798,18.77964210510254,12.832500457763672,18.124067306518555,2.2613329887390137,19.177499771118164,12.878999710083008,18.16541290283203,2.319999933242798,594333600,37484000,110954331,10110000
2013-01-07,16.022626876831055,13.42300033569336,18.30015754699707,2.2893331050872803,18.71071434020996,13.42300033569336,18.30015754699707,2.2893331050872803,18.9035701751709,13.486499786376953,18.41547393798828,2.319999933242798,18.399999618530273,13.133500099182129,18.19629669189453,2.259999990463257,18.64285659790039,13.148500442504883,18.317590713500977,2.319999933242798,484156400,98200000,66476239,6630000
2013-01-08,16.065750122070312,13.319000244140625,18.264041900634766,2.245332956314087,18.761070251464844,13.319000244140625,18.264041900634766,2.245332956314087,18.996070861816406,13.449000358581543,18.338762283325195,2.299999952316284,18.616071701049805,13.178500175476074,18.043119430541992,2.2073330879211426,18.90035629272461,13.353500366210938,18.319833755493164,2.299999952316284,458707200,60214000,67295297,19260000
2013-01-09,15.81466293334961,13.317500114440918,18.384092330932617,2.2426669597625732,18.467857360839844,13.317500114440918,18.384092330932617,2.2426669597625732,18.750356674194336,13.475000381469727,18.389820098876953,2.2793331146240234,18.428213119506836,13.270000457763672,18.14698028564453,2.2266669273376465,18.66071319580078,13.408499717712402,18.238388061523438,2.2673330307006836,407604400,45312000,81291563,10470000
2013-01-10,16.01069450378418,13.267000198364258,18.467777252197266,2.23533296585083,18.696786880493164,13.267000198364258,18.467777252197266,2.23533296585083,18.882856369018555,13.437000274658203,18.555450439453125,2.2660000324249268,18.411428451538086,13.114999771118164,18.269023895263672,2.2253329753875732,18.876785278320312,13.427000045776367,18.501401901245117,2.257999897003174,601146000,57268000,73703226,13837500
2013-01-11,15.912525177001953,13.397000312805176,18.430667877197266,2.194000005722046,18.582143783569336,13.397000312805176,18.430667877197266,2.194000005722046,18.761428833007812,13.421500205993652,18.491439819335938,2.2693328857421875,18.536428451538086,13.205499649047852,18.338762283325195,2.140666961669922,18.60714340209961,13.255000114440918,18.480730056762695,2.2693328857421875,350506800,48266000,51600690,23448000
